time,voltage,respondent_id,year,week
2021-06-01 00:00:02,251.7680339462518,04B00F5A,2021,22
2021-06-01 00:02:02,251.7680339462518,04B00F5A,2021,22
2021-06-01 00:04:02,251.7680339462518,04B00F5A,2021,22
2021-06-01 00:06:02,251.7680339462518,04B00F5A,2021,22
2021-06-01 00:08:02,251.7680339462518,04B00F5A,2021,22
2021-06-01 00:10:02,253.1824611032532,04B00F5A,2021,22
2021-06-01 00:12:02,253.1824611032532,04B00F5A,2021,22
2021-06-01 00:14:02,253.1824611032532,04B00F5A,2021,22
2021-06-01 00:16:02,253.1824611032532,04B00F5A,2021,22
2021-06-01 00:18:02,253.88967468175392,04B00F5A,2021,22
2021-06-01 00:20:02,252.4752475247525,04B00F5A,2021,22
2021-06-01 00:22:02,253.1824611032532,04B00F5A,2021,22
2021-06-01 00:24:02,253.88967468175392,04B00F5A,2021,22
2021-06-01 00:26:02,256.71852899575674,04B00F5A,2021,22
2021-06-01 00:28:02,256.71852899575674,04B00F5A,2021,22
2021-06-01 00:30:02,256.011315417256,04B00F5A,2021,22
2021-06-01 00:32:02,256.71852899575674,04B00F5A,2021,22
2021-06-01 00:34:02,256.71852899575674,04B00F5A,2021,22
2021-06-01 00:36:02,256.011315417256,04B00F5A,2021,22
2021-06-01 00:38:02,256.011315417256,04B00F5A,2021,22
2021-06-01 00:40:02,256.011315417256,04B00F5A,2021,22
2021-06-01 00:42:02,254.59688826025464,04B00F5A,2021,22
2021-06-01 00:44:02,254.59688826025464,04B00F5A,2021,22
2021-06-01 00:46:01,256.71852899575674,04B00F5A,2021,22
2021-06-01 00:48:01,257.4257425742574,04B00F5A,2021,22
2021-06-01 00:50:01,258.84016973125887,04B00F5A,2021,22
2021-06-01 00:52:02,256.71852899575674,04B00F5A,2021,22
2021-06-01 00:54:02,258.84016973125887,04B00F5A,2021,22
2021-06-01 00:56:02,258.84016973125887,04B00F5A,2021,22
2021-06-01 00:58:02,258.13295615275814,04B00F5A,2021,22
2021-06-01 01:00:01,258.84016973125887,04B00F5A,2021,22
2021-06-01 01:02:01,258.13295615275814,04B00F5A,2021,22
2021-06-01 01:04:01,257.4257425742574,04B00F5A,2021,22
2021-06-01 01:06:01,257.4257425742574,04B00F5A,2021,22
2021-06-01 01:08:01,257.4257425742574,04B00F5A,2021,22
2021-06-01 01:10:02,257.4257425742574,04B00F5A,2021,22
2021-06-01 01:12:01,257.4257425742574,04B00F5A,2021,22
2021-06-01 01:14:01,258.13295615275814,04B00F5A,2021,22
2021-06-01 01:16:01,257.4257425742574,04B00F5A,2021,22
2021-06-01 01:18:01,258.13295615275814,04B00F5A,2021,22
2021-06-01 01:20:01,255.30410183875532,04B00F5A,2021,22
2021-06-01 01:22:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:24:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:26:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:28:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:30:01,255.30410183875532,04B00F5A,2021,22
2021-06-01 01:32:01,255.30410183875532,04B00F5A,2021,22
2021-06-01 01:34:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:36:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:38:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:40:01,256.71852899575674,04B00F5A,2021,22
2021-06-01 01:42:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:44:01,256.71852899575674,04B00F5A,2021,22
2021-06-01 01:46:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:48:01,255.30410183875532,04B00F5A,2021,22
2021-06-01 01:50:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:52:01,256.011315417256,04B00F5A,2021,22
2021-06-01 01:54:01,253.88967468175392,04B00F5A,2021,22
2021-06-01 01:56:01,253.88967468175392,04B00F5A,2021,22
2021-06-01 01:58:01,253.88967468175392,04B00F5A,2021,22
2021-06-01 02:00:01,253.1824611032532,04B00F5A,2021,22
2021-06-01 02:02:00,254.59688826025464,04B00F5A,2021,22
2021-06-01 02:04:00,254.59688826025464,04B00F5A,2021,22
2021-06-01 02:06:01,254.59688826025464,04B00F5A,2021,22
2021-06-01 02:08:01,254.59688826025464,04B00F5A,2021,22
2021-06-01 02:10:01,254.59688826025464,04B00F5A,2021,22
2021-06-01 02:12:01,253.88967468175392,04B00F5A,2021,22
2021-06-01 02:14:00,255.30410183875532,04B00F5A,2021,22
2021-06-01 02:16:00,255.30410183875532,04B00F5A,2021,22
2021-06-01 02:18:00,255.30410183875532,04B00F5A,2021,22
2021-06-01 02:20:00,255.30410183875532,04B00F5A,2021,22
2021-06-01 02:22:00,256.011315417256,04B00F5A,2021,22
